slug,type,claim_field,claim,refuter
"nairn-circle-milton","T5-neighbourhood","faq","Centennial Forest Drive, also in Timberlea, leans toward detached homes in a similar price range.","dataIsland.streetFacts Neighbourhood = ""Scott"" (also eyebrow ""Street Profile · Scott · Milton, ON""; the page's other FAQ answers say ""Across the Scott area"" and ""The broader Scott market"")"
"bishop-court-milton","T3-sales-absence-vs-count","faq","There is no recent sales activity on Bishop Court, so a reliable pace of sale cannot be stated. Across Dorset Park more broadly, homes typically find buyers within a few months. The street itself has no recorded transactions to draw a timeline from.","dataIsland.heroStats: {label: ""Transactions tracked"", value: ""1"", sub: ""sales + leases · last 12 months""}"
"stewart-crescent-milton","OTHER","faq","The street's housing stock is not broken out in the available data, so a type-by-type description is not possible here. What can be said is that Stewart Crescent is a crescent in the Beaty area, a form that typically produces a quieter internal loop rather than a through-route. Readers wanting a precise type mix should verify with current listings or the street itself.","dataIsland.heroStats: {""label"": ""Housing mix"", ""value"": ""Detached"", ""silent"": false}"
"malick-street-milton","T2-exclusivity-vs-data","faq","Detached homes make up the entire recent sales picture on Malick Street, with no condo activity recorded.","pillRows sales (window ""· last 12 months""): {""type"":""Condo"",""count"":1}; glance {""label"":""Condo sold"",""value"":""1"",""detail"":""1 sale · last 12 months""}"
"mae-court-milton","T3-sales-absence-vs-count","faq","Mae Court itself has seen no recent sales or leases, so the street's housing mix isn't established from activity.","glance ""Activity"" = ""1"" (sales · last 90 days); glance ""Sales tracked"" = ""1"" (last 12 months); glance ""Detached sold"" = ""1"" (1 sale · last 12 months); pillRows sales Detached count 1 (· last 12 months); heroStats ""Housing mix"" = ""Detached""; the meta template lead on the same page says ""1 sale in the last 12 months on record"""
"labine-point-milton","T7-opposite-compass","hero/place-description","Labine Point is a quiet cul-de-sac in Milton's Cobban neighbourhood, a residential pocket in the town's northwest.","FAQ ""Is Labine Point new construction or established?"": ""Labine Point sits within Cobban, one of Milton's newer eastern subdivisions, and reads as recently built stock rather than an established pocket."""
"willet-terrace-milton","T1-housing-type","faq","The street carries a small mix, with townhouses the more common form and detached homes also present. Both are represented in low single digits, so Willet Terrace reads as a compact residential terrace rather than a long run of one type.","heroStats ""Housing mix"" = ""Detached""; pillRows sales · last 12 months = [Detached 2] with no other type; glance ""Detached sold"" = ""2""; the only listing (146 Willet Terrace) has propertyType ""detached"""
"philbrook-drive-milton","OTHER","faq","Rental activity on the street has been light, with recent leases outnumbering sales.","glance ""Leases"" = ""2"" (closed · last 12 months); glance ""Sales tracked"" = ""2"" (last 12 months); glance ""Activity"" = ""2"" (sales · last 90 days); heroStats ""Transactions tracked"" = ""4"" (sales + leases · last 12 months)"
"hearst-boulevard-milton","OTHER","faq","With only a couple of sales in the recent period, the street's own momentum is hard to read.","glance ""Sales tracked"" = ""1"" (last 12 months); glance ""Activity"" = ""1"" (sales · last 90 days); pillRows sales · last 12 months: Detached count 1; the page's own meta lead also says ""1 sale in the last 12 months on record"""
"schreyer-crescent-milton","T2-exclusivity-vs-data","faq","Schreyer Crescent is a detached street. Every recorded sale on it has been a detached home, and there are no townhouse or semi-detached transactions in the mix. The crescent reads as a single-form street rather than a mixed one.","listings: {""address"":""225 Schreyer Crescent, Milton, ON L9T 7B6"",""propertyType"":""townhouse""} (one of 3 live listings; glance ""Active right now"" = 3)"
