slug,classes,class2_misplaced_only,served_text_generated,clicks_28d,impressions_28d,clicks_since_generation,impressions_since_generation
"zilio-terrace-milton","","false","2026-07-24","11","161","11","161"
"etheridge-avenue-milton","1","true","2026-09-11","2","143","2","121"
"kovachik-boulevard-milton","","false","2026-09-11","0","108","0","87"
"nairn-circle-milton","1+3","false","2026-09-06","1","93","1","69"
"chretien-street-milton","","true","2026-09-22","1","91","0","2"
"andrews-trail-milton","","false","2026-09-13","0","90","0","25"
"dent-terrace-milton","1","false","2026-05-26","4","85","4","85"
"first-line-nassagaweya-milton","","false","2026-09-13","1","83","1","78"
"jelinik-terrace-milton","1","false","2026-09-05","1","78","1","59"
"raspberry-terrace-milton","","false","2026-09-22","1","76","0","10"
"sixth-line-nassagaweya-milton","","false","2026-09-13","0","64","0","49"
"wettlaufer-terrace-milton","","false","2026-09-06","0","64","0","42"
"apple-terrace-milton","","true","2026-09-13","1","63","1","36"
"marigold-court-milton","1","false","2026-09-05","0","62","0","24"
"magnolia-terrace-milton","1","false","2026-09-21","1","61","0","10"
"brandon-terrace-milton","1","false","2026-09-13","1","59","1","46"
"parent-place-milton","1+3","false","2026-09-06","1","59","1","37"
"prosser-circle-milton","1","false","2026-09-13","0","59","0","19"
"challinor-terrace-milton","1","false","2026-09-13","1","58","1","37"
"20th-side-road-milton","","false","2026-09-20","1","55","0","2"
"celandine-terrace-milton","1","false","2026-09-13","1","53","1","21"
"edwards-avenue-milton","","false","2026-09-13","0","52","0","10"
"restivo-lane-milton","","true","2026-09-21","4","52","0","16"
"costigan-road-milton","","true","2026-09-21","1","52","0","20"
"syer-drive-milton","1","false","2026-09-05","2","51","2","37"
"25-side-road-milton","","false","2026-04-21","1","51","1","51"
"marshall-crescent-milton","1","true","2026-09-13","0","47","0","32"
"stirling-todd-terrace-milton","","false","2026-09-21","2","47","1","6"
"bessy-trail-milton","1","false","2026-09-05","0","46","0","20"
"chilver-heights-milton","1+2","false","2026-09-12","0","45","0","45"
"campbellville-road-milton","1","false","2026-09-13","0","44","0","15"
"holdsworth-crescent-milton","1","false","2026-09-05","3","44","1","20"
"gooch-crescent-milton","1","false","2026-05-27","1","44","1","44"
"hobbs-crescent-milton","1","false","2026-09-05","4","41","4","41"
"stokes-trail-milton","1","false","2026-09-05","1","40","0","29"
"20-side-road-milton","1","false","2026-09-20","0","38","0","2"
"centennial-forest-drive-milton","1+3","false","2026-09-06","0","38","0","23"
"baverstock-crescent-milton","1","false","2026-06-01","1","37","1","37"
"coulson-avenue-milton","1","false","2026-09-13","0","36","0","8"
"martin-street-milton","1","false","2026-09-11","0","35","0","35"
"severn-drive-milton","1","true","2026-09-12","1","34","0","7"
