verdict,slug,errM,test,subject,relation,direction,anchorKind,anchorName,negated,hedged,surfaces,quote,text
"MISPLACED","mccready-drive-milton","-1093","T1 downtown","polygon:Scott","anchor-compass","north","downtown","the town's historic core","false","false","hero ld-place sec:about","sits north of the town's historic core","McCready Drive is a residential street in the Scott area of Milton, a pocket that sits north of the town's historic core and west of the Niagara Escarpment."
"not-checkable","mccready-drive-milton","","","","anchor-compass","west","escarpment","the Niagara Escarpment","false","false","hero ld-place sec:about","west of the Niagara Escarpment","McCready Drive is a residential street in the Scott area of Milton, a pocket that sits north of the town's historic core and west of the Niagara Escarpment."
"MISPLACED","mccready-drive-milton","138","T1 town","street","town-compass","north","town","Milton","false","false","sec:about","belongs to the newer northern half of Milton","For anyone learning the town's geography, McCready Drive belongs to the newer northern half of Milton, where the street pattern is deliberate and the lots were laid out with intention."
"not-checkable","hinchey-crescent-milton","","","","anchor-compass","west","escarpment","the escarpment line","false","false","hero ld-place sec:about","sits west of the escarpment line","Hinchey Crescent is a residential crescent in Milton's Scott area, a pocket of the town that sits west of the escarpment line and north of the main east-west corridors."
"no-geometry","hinchey-crescent-milton","","","","anchor-compass","north","road","the main east-west corridors","false","false","hero ld-place sec:about","north of the main east-west corridors","Hinchey Crescent is a residential crescent in Milton's Scott area, a pocket of the town that sits west of the escarpment line and north of the main east-west corridors."
"not-checkable","hill-street-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Hill Street is a short residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the older core."
"MISPLACED","hill-street-milton","-1911","T1 downtown","polygon:Beaty","anchor-compass","north","downtown","the older core","false","false","hero ld-place sec:about","north of the older core","Hill Street is a short residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the older core."
"WRONG","hill-street-milton","1538","T1 town","street","town-compass","west","town","Milton","false","false","sec:about","Hill Street belongs to the western residential belt","For anyone mapping Milton, Hill Street belongs to the western residential belt, close enough to the highway for a commute and far enough from it to stay residential in feel."
"not-checkable","hill-street-milton","","","","proximity","none","road","the highway","false","false","sec:about","close enough to the highway for a commute","For anyone mapping Milton, Hill Street belongs to the western residential belt, close enough to the highway for a commute and far enough from it to stay residential in feel."
"not-checkable","hadley-woods-terrace-milton","","","","anchor-compass","west","commercial-corridor","the commercial spine","false","false","hero ld-place sec:about","sits west of the commercial spine","Hadley Woods Terrace is a short residential street in Milton's Dempsey neighbourhood, a pocket of the town that sits west of the commercial spine and north of the older grid."
"not-refuted","hadley-woods-terrace-milton","-3179","T1 downtown","polygon:Dempsey","anchor-compass","north","downtown","the older grid","false","false","hero ld-place sec:about","north of the older grid","Hadley Woods Terrace is a short residential street in Milton's Dempsey neighbourhood, a pocket of the town that sits west of the commercial spine and north of the older grid."
"MISPLACED","hadley-woods-terrace-milton","-951","T1 town","street","town-compass","west","town","Milton","false","false","sec:gettingAround","a street this far west in Milton","For a street this far west in Milton, the balance tilts toward the highway and the train rather than the city core."
"not-refuted","calla-point-milton","-3783","T1 town","polygon:Walker","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a residential pocket in the town's west end","Calla Point is a quiet cul-de-sac in Milton's Walker neighbourhood, a residential pocket in the town's west end."
"not-checkable","tilt-point-milton","","","","anchor-compass","west","escarpment","the escarpment line","false","false","hero ld-place sec:about","sits west of the escarpment line","Tilt Point is a short residential street in Milton's Scott neighbourhood, a pocket of the town that sits west of the escarpment line and north of the main commercial corridors."
"not-checkable","tilt-point-milton","","","","anchor-compass","north","commercial-corridor","the main commercial corridors","false","false","hero ld-place sec:about","north of the main commercial corridors","Tilt Point is a short residential street in Milton's Scott neighbourhood, a pocket of the town that sits west of the escarpment line and north of the main commercial corridors."
"not-checkable","minto-crescent-milton","","","","proximity","none","other","the western GTA","false","false","sec:gettingAround","well placed for the western GTA","By car the street is well placed for the western GTA."
"not-checkable","mendelson-heights-milton","","","","anchor-compass","west","escarpment","the escarpment corridor","false","false","hero ld-place sec:about","sits west of the escarpment corridor","Mendelson Heights is a small residential street in Milton's Ford area, a pocket of the town that sits west of the escarpment corridor and north of the main east-west arteries."
"no-geometry","mendelson-heights-milton","","","","anchor-compass","north","road","the main east-west arteries","false","false","hero ld-place sec:about","north of the main east-west arteries","Mendelson Heights is a small residential street in Milton's Ford area, a pocket of the town that sits west of the escarpment corridor and north of the main east-west arteries."
"not-checkable","bartleman-terrace-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Bartleman Terrace is a short residential street in Milton's Coates neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"no-geometry","bartleman-terrace-milton","","","","anchor-compass","north","road","the main east-west corridors","false","false","hero ld-place sec:about","north of the main east-west corridors","Bartleman Terrace is a short residential street in Milton's Coates neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"not-refuted","old-tremaine-road-milton","-4246","T1 town","street","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a rural road in Milton's west end","Old Tremaine Road is a rural road in Milton's west end, running through the Rural Milton West area where the town's grid gives way to open country."
"not-checkable","old-tremaine-road-milton","","","","edge-of-town","none","built-up-area","the town's grid","false","false","hero ld-place sec:about","where the town's grid gives way to open country","Old Tremaine Road is a rural road in Milton's west end, running through the Rural Milton West area where the town's grid gives way to open country."
"not-checkable","old-tremaine-road-milton","","","","edge-of-town","none","built-up-area","the built-up subdivisions","false","false","sec:about","It sits beyond the built-up subdivisions","It sits beyond the built-up subdivisions, in a stretch where lots are larger and the rhythm is slower than in the town's core."
"not-checkable","hasselfeldt-heights-milton","","","","anchor-compass","west","escarpment","the escarpment line","false","false","hero ld-place sec:about","sits west of the escarpment line","Hasselfeldt Heights is a short residential street in Milton's Coates neighbourhood, a pocket of the town that sits west of the escarpment line and north of the main east-west arterial grid."
"no-geometry","hasselfeldt-heights-milton","","","","anchor-compass","north","road","the main east-west arterial grid","false","false","hero ld-place sec:about","north of the main east-west arterial grid","Hasselfeldt Heights is a short residential street in Milton's Coates neighbourhood, a pocket of the town that sits west of the escarpment line and north of the main east-west arterial grid."
"not-checkable","manley-lane-milton","","","","anchor-compass","west","commercial-corridor","the commercial spine","false","false","hero ld-place sec:about","sits west of the commercial spine","Manley Lane is a short residential lane in Milton's Dempsey district, a pocket of the town that sits west of the commercial spine and north of the older grid."
"not-refuted","manley-lane-milton","-3179","T1 downtown","polygon:Dempsey","anchor-compass","north","downtown","the older grid","false","false","hero ld-place sec:about","north of the older grid","Manley Lane is a short residential lane in Milton's Dempsey district, a pocket of the town that sits west of the commercial spine and north of the older grid."
"not-checkable","argall-court-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Argall Court is a short residential court in Milton's Ford area, a pocket of the town that sits west of the escarpment and north of the main east-west arteries."
"no-geometry","argall-court-milton","","","","anchor-compass","north","road","the main east-west arteries","false","false","hero ld-place sec:about","north of the main east-west arteries","Argall Court is a short residential court in Milton's Ford area, a pocket of the town that sits west of the escarpment and north of the main east-west arteries."
"no-geometry","argall-court-milton","","","","anchor-compass","east","road","the highway","false","false","sec:gettingAround","the highway and the station are both a short run west","The street's geometry is the quiet advantage: a court, so through traffic never arrives, yet the highway and the station are both a short run west."
"not-checkable","argall-court-milton","","","","anchor-compass","east","rail","the station","false","false","sec:gettingAround","the highway and the station are both a short run west","The street's geometry is the quiet advantage: a court, so through traffic never arrives, yet the highway and the station are both a short run west."
"MISPLACED","manitou-way-milton","432","T1 town","polygon:Bowes","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a pocket of the town's western edge","Manitou Way is a short residential way in Milton's Bowes area, a pocket of the town's western edge where the street grid gives way to quieter, self-contained addresses."
"WRONG","manitou-way-milton","2143","T1 town","street","town-compass","west","town","Milton","false","false","sec:gettingAround","For a west-end address","For a west-end address, that geometry keeps the daily reach wide without much friction."
"not-checkable","mcneil-drive-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","McNeil Drive is a residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial corridors."
"not-checkable","mcneil-drive-milton","","","","anchor-compass","north","commercial-corridor","the main commercial corridors","false","false","hero ld-place sec:about","north of the main commercial corridors","McNeil Drive is a residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial corridors."
"not-refuted","banting-court-milton","78","T1 downtown","polygon:Dorset Park","anchor-compass","south","downtown","the downtown core","false","false","hero ld-place sec:about","sits south of the downtown core","Banting Court is a short residential court in Milton's Dorset Park area, a pocket of the town that sits south of the downtown core and east of the main north-south arteries."
"no-geometry","banting-court-milton","","","","anchor-compass","east","road","the main north-south arteries","false","false","hero ld-place sec:about","east of the main north-south arteries","Banting Court is a short residential court in Milton's Dorset Park area, a pocket of the town that sits south of the downtown core and east of the main north-south arteries."
"not-refuted","wintergreen-place-milton","-3697","T1 town","street","town-compass","east","town","Milton","false","false","hero ld-place sec:about","a quieter network of streets in the town's growing eastern side","Wintergreen Place sits in the Cobban neighbourhood of Milton, a short residential court that opens off a quieter network of streets in the town's growing eastern side."
"MISPLACED","severn-drive-milton","432","T1 town","polygon:Bowes","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a pocket of west Milton","Severn Drive is a residential street in Milton's Bowes area, a pocket of west Milton that sits between the town's established grid and the newer edges pushing toward the escarpment."
"not-checkable","severn-drive-milton","","","","other-position","none","other","the town's established grid and the newer edges pushing toward the escarpment","false","false","hero ld-place sec:about","sits between the town's established grid and the newer edges pushing toward the escarpment","Severn Drive is a residential street in Milton's Bowes area, a pocket of west Milton that sits between the town's established grid and the newer edges pushing toward the escarpment."
"MISPLACED","elderberry-crescent-milton","-964","T1 town","polygon:Cobban","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a pocket of west Milton","Elderberry Crescent is a short residential curve in Milton's Cobban neighbourhood, a pocket of west Milton that has filled in steadily over the past decade."
"not-refuted","esquesing-line-milton","-6043","T1 town","street","town-compass","north","town","Milton","false","false","hero ld-place sec:about","runs as a country road through the northern edge of Milton","Esquesing Line runs as a country road through the northern edge of Milton, within the Milton North neighbourhood."
"no-geometry","esquesing-line-milton","","","","proximity","none","downtown","the town core","false","false","sec:about","newer subdivisions beginning to appear closer to the town core","The road is framed by open fields and scattered farmsteads, with newer subdivisions beginning to appear closer to the town core."
"not-refuted","esquesing-line-milton","-6043","T1 town","street","town-compass","north","town","Milton","false","false","faq","Esquesing Line sits on Milton's northern edge","Esquesing Line sits on Milton's northern edge, which gives it a different character from streets embedded inside the built-up parts of town."
"not-refuted","coombs-court-milton","-2422","T1 downtown","polygon:Scott","anchor-compass","west","downtown","the downtown core","false","false","hero ld-place sec:about","sits west of the downtown core","Coombs Court is a small residential court in Milton's Scott neighbourhood, a pocket of the town that sits west of the downtown core and north of the escarpment lands."
"not-checkable","coombs-court-milton","","","","anchor-compass","north","escarpment","the escarpment lands","false","false","hero ld-place sec:about","north of the escarpment lands","Coombs Court is a small residential court in Milton's Scott neighbourhood, a pocket of the town that sits west of the downtown core and north of the escarpment lands."
"not-refuted","bishop-court-milton","-2215","T1 downtown","polygon:Dorset Park","anchor-compass","east","downtown","the downtown core","false","false","hero ld-place sec:about","sits east of the downtown core","Bishop Court is a short residential court in Milton's Dorset Park, a pocket of the town that sits east of the downtown core and south of the escarpment line."
"not-checkable","bishop-court-milton","","","","anchor-compass","south","escarpment","the escarpment line","false","false","hero ld-place sec:about","south of the escarpment line","Bishop Court is a short residential court in Milton's Dorset Park, a pocket of the town that sits east of the downtown core and south of the escarpment line."
"MISPLACED","britannia-road-milton","-4711","T1 town","street","town-compass","north","town","Milton","false","false","hero ld-place sec:about","runs as a quiet, rural-tinged artery through Milton's northern edge","Britannia Road runs as a quiet, rural-tinged artery through Milton's northern edge, where the Bowes and Rural Trafalgar neighbourhoods meet."
"not-checkable","britannia-road-milton","","","","other-position","none","neighbourhood","Bowes and Rural Trafalgar","false","false","hero ld-place sec:about","where the Bowes and Rural Trafalgar neighbourhoods meet","Britannia Road runs as a quiet, rural-tinged artery through Milton's northern edge, where the Bowes and Rural Trafalgar neighbourhoods meet."
"no-geometry","britannia-road-milton","","","","proximity","none","downtown","the town centre","false","false","sec:homes","the denser subdivisions closer to the town centre","For those seeking a property with space and a sense of seclusion, Britannia Road offers a distinct alternative to the denser subdivisions closer to the town centre."
"no-geometry","britannia-road-milton","","","","proximity","none","downtown","Milton's core amenities","false","false","sec:differentPriorities","a location closer to Milton's core amenities","Buyers exploring comparable options might weigh a location closer to Milton's core amenities, where grocery stores and the GO station are shorter drives."
"not-checkable","holly-avenue-milton","","","","anchor-compass","east","escarpment","the escarpment","false","false","hero ld-place sec:about","sits east of the escarpment","Holly Avenue is a residential street in Milton's Coates neighbourhood, a pocket of the town that sits east of the escarpment and west of the commercial spine along Thompson Road South."
"not-checkable","holly-avenue-milton","","","","anchor-compass","west","commercial-corridor","the commercial spine along Thompson Road South","false","false","hero ld-place sec:about","west of the commercial spine along Thompson Road South","Holly Avenue is a residential street in Milton's Coates neighbourhood, a pocket of the town that sits east of the escarpment and west of the commercial spine along Thompson Road South."
"not-checkable","menefy-place-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Menefy Place is a short residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
