slug,errM,test,subject,relation,direction,anchor,surfaces,quote,text,clicks_28d,impressions_28d
"grey-landing-milton","2666","T1 town","street","town-compass","north","Milton","sec:about","The street sits in the northern part of town","The street sits in the northern part of town, where the grid gives way to winding crescents and cul-de-sacs.","0","0"
"norris-circle-milton","2494","T1 town","street","town-compass","west","Milton","sec:gettingAround","a street this far west in Milton","For a street this far west in Milton, the highway and the rail line do most of the heavy lifting.","0","1"
"muskoka-heights-milton","2288","T1 town","street","town-compass","west","Milton","sec:about","occupies a quiet interior position in the town's western half","For anyone mapping Milton, Muskoka Heights occupies a quiet interior position in the town's western half.","0","17"
"watson-terrace-milton","2215","T1 town","street","town-compass","west","the town's built-up area","","sitting at the western edge of the town's built-up area","Watson Terrace is a short residential street in Milton's Beaty neighbourhood, sitting at the western edge of the town's built-up area where the subdivision grid gives way to the open land of Rural Milton West.","0","0"
"watson-terrace-milton","2215","T1 town","street","town-compass","west","the town's built-up area","","sitting at the western edge of the town's built-up area","Watson Terrace is a short residential street in Milton's Beaty neighbourhood, sitting at the western edge of the town's built-up area where the subdivision grid gives way to the open land of Rural Milton West.","0","0"
"manitou-way-milton","2143","T1 town","street","town-compass","west","Milton","sec:gettingAround","For a west-end address","For a west-end address, that geometry keeps the daily reach wide without much friction.","0","0"
"fennamore-terrace-milton","1954","T1 downtown","polygon:Harrison","anchor-compass","north","the commercial core","hero ld-place sec:about","sits north of the commercial core","Fennamore Terrace is a short residential street in Milton's Harrison area, a pocket of the town that sits north of the commercial core and west of the older grid streets closer to downtown.","0","0"
"slingsby-landing-milton","1954","T1 downtown","polygon:Harrison","anchor-compass","north","the older grid","hero ld-place sec:about","north of the older grid","Slingsby Landing is a short residential street in Milton's Harrison area, a pocket of the town that sits west of the commercial spine and north of the older grid.","0","3"
"magurn-gate-milton","1954","T1 downtown","polygon:Harrison","anchor-compass","north","the older grid","hero ld-place sec:about","north of the older grid","Magurn Gate is a short residential street in Milton's Harrison area, a pocket of the town that sits west of the commercial spine and north of the older grid.","1","6"
"reece-court-milton","1954","T1 downtown","polygon:Harrison","anchor-compass","north","the older grid","hero ld-place sec:about","north of the older grid","Reece Court is a short residential court in Milton's Harrison area, a pocket of the town that sits west of the commercial spine and north of the older grid.","0","0"
"schreyer-crescent-milton","1954","T1 downtown","polygon:Harrison","anchor-compass","north","the older grid","hero ld-place sec:about","north of the older grid","Schreyer Crescent is a residential crescent in Milton's Harrison area, a pocket of the town that sits west of the commercial spine and north of the older grid.","0","28"
"gleave-terrace-milton","1954","T1 downtown","polygon:Harrison","anchor-compass","north","the older core","hero ld-place sec:about","north of the older core","Gleave Terrace is a short residential street in Milton's Harrison area, a pocket of the town that sits west of the escarpment and north of the older core.","1","32"
"urell-way-milton","1954","T1 downtown","polygon:Harrison","anchor-compass","north","the older core","hero ld-place sec:about","north of the older core","Urell Way is a short residential way in Milton's Harrison neighbourhood, a pocket of the town that sits west of the escarpment line and north of the older core.","0","0"
"bessborough-drive-milton","1954","T1 downtown","polygon:Harrison","anchor-compass","north","the older core","hero ld-place sec:about","north of the older core","Bessborough Drive is a residential street in Milton's Harrison area, a pocket of the town that sits west of the escarpment and north of the older core.","0","0"
"mortimer-crescent-milton","1954","T1 downtown","polygon:Harrison","anchor-compass","north","the older grid","hero ld-place sec:about","north of the older grid","Mortimer Crescent is a short residential crescent in Milton's Harrison area, a pocket of the town that sits west of the commercial spine and north of the older grid.","0","9"
"septimus-heights-milton","1875","T1 town","street","town-compass","north","Milton","","sits in Harrison, on Milton's north side","Septimus Heights sits in Harrison, on Milton's north side, which shapes the practical commute options.","0","0"
